timestamp,SCALED_IMU2.time_boot_ms,SCALED_IMU2.xacc,SCALED_IMU2.yacc,SCALED_IMU2.zacc,SCALED_IMU2.xgyro,SCALED_IMU2.ygyro,SCALED_IMU2.zgyro,SCALED_IMU2.xmag,SCALED_IMU2.ymag,SCALED_IMU2.zmag,SCALED_IMU2.temperature
1437196024.73745584,202051,28,-13,-1012,21,-22,9,116,229,-546,0
1437196024.97949600,202372,45,-4,-989,10,-12,2,116,228,-548,0
1437196025.33969998,202693,41,-6,-1012,23,-27,6,116,228,-541,0
1437196025.57971191,203015,34,0,-993,24,-24,9,116,229,-549,0
1437196025.80674005,203335,39,-9,-999,23,-19,7,117,229,-548,0
1437196026.21302795,203657,35,-11,-1002,18,-21,0,117,227,-546,0
1437196026.57924390,203979,43,-17,-1002,24,-21,10,106,228,-546,0
1437196026.83720398,204300,45,0,-1000,14,-6,8,105,230,-548,0
1437196027.24748802,204621,37,-4,-993,13,-15,10,104,233,-546,0
1437196027.60100389,204943,39,-2,-1001,17,-14,9,105,232,-542,0
1437196027.94283199,205265,40,-12,-994,12,-14,7,104,230,-544,0
1437196028.28090000,205587,39,-6,-991,19,-20,7,105,236,-548,0
1437196028.64808393,205908,35,-5,-996,17,-15,8,105,233,-544,0
1437196028.90530801,206269,45,-1,-995,23,-21,7,105,236,-548,0
1437196029.52234793,206630,39,-11,-998,20,-25,8,103,236,-547,0
1437196029.93452382,206992,33,-8,-994,15,-21,2,105,234,-543,0
1437196030.39367604,207354,44,0,-993,16,-14,5,103,238,-545,0
1437196030.71584797,207717,44,-9,-1002,21,-18,9,104,240,-545,0
1437196030.95391583,208078,44,-2,-990,17,-23,9,104,238,-541,0
1437196031.32413983,208439,42,-1,-996,13,-18,10,105,233,-542,0
1437196031.54521585,208842,44,-8,-995,16,-26,10,106,239,-543,0
1437196031.80342793,209244,49,2,-990,16,-16,0,105,238,-538,0
1437196032.02449203,209686,34,-5,-991,17,-13,8,104,239,-546,0
1437196032.42166400,210128,44,4,-994,19,-16,13,104,238,-543,0
1437196032.88371205,210571,37,-9,-1005,12,-15,7,104,237,-548,0
1437196033.29703593,210973,40,1,-1001,18,-19,12,106,237,-549,0
1437196033.70932388,211375,44,-9,-1000,19,-11,9,106,237,-548,0
1437196034.22165203,211737,41,-8,-998,14,-16,10,104,238,-546,0
1437196034.69500399,212099,38,-2,-994,17,-22,3,105,236,-548,0
1437196035.11169195,212460,49,-2,-1000,19,-23,14,104,234,-542,0
1437196035.53080392,212822,37,-8,-991,18,-13,13,104,237,-544,0
