timestamp,GLOBAL_POSITION_INT.time_boot_ms,GLOBAL_POSITION_INT.lat,GLOBAL_POSITION_INT.lon,GLOBAL_POSITION_INT.alt,GLOBAL_POSITION_INT.relative_alt,GLOBAL_POSITION_INT.vx,GLOBAL_POSITION_INT.vy,GLOBAL_POSITION_INT.vz,GLOBAL_POSITION_INT.hdg
1437195981.79940391,159036,-352080898,1490435282,1780,1780,-18,-19,-2,31776
1437195982.22222805,159419,-352080891,1490435277,1770,1770,-18,-18,-2,31776
1437195982.62776804,159821,-352080896,1490435272,1770,1770,-19,-19,-2,31776
1437195982.94690800,160222,-352080909,1490435278,1760,1760,-18,-18,-2,31773
1437195983.22505999,160624,-352080900,1490435279,1760,1760,-19,-18,-1,31772
1437195983.46917200,160825,-352080904,1490435277,1770,1770,-19,-17,0,31770
1437195983.75791597,161227,-352080914,1490435280,1760,1760,-19,-17,-2,31768
1437195984.12933993,161629,-352080927,1490435273,1760,1760,-19,-17,-1,31765
1437195984.53462386,162030,-352080930,1490435261,1770,1770,-19,-17,0,31763
1437195984.90382004,162231,-352080929,1490435260,1760,1760,-20,-17,-1,31762
1437195985.26498389,162633,-352080930,1490435255,1740,1740,-19,-17,-1,31762
1437195985.57608795,163036,-352080932,1490435255,1730,1730,-19,-16,-1,31761
1437195986.14539599,163236,-352080940,1490435253,1720,1720,-19,-17,-2,31761
1437195986.39858794,163639,-352080948,1490435251,1730,1730,-19,-17,-1,31760
1437195986.78257990,163820,-352080941,1490435248,1740,1740,-19,-17,-1,31759
1437195987.12792397,164242,-352080938,1490435242,1740,1740,-19,-17,-1,31758
1437195987.39385200,164623,-352080947,1490435233,1740,1740,-18,-17,0,31757
1437195987.80218005,164824,-352080950,1490435229,1750,1750,-19,-17,0,31758
1437195988.16912794,165227,-352080950,1490435223,1750,1750,-19,-18,0,31756
1437195988.42328000,165628,-352080946,1490435222,1760,1760,-18,-18,0,31756
1437195988.83749604,165829,-352080943,1490435217,1770,1770,-18,-17,1,31753
1437195989.12157583,166231,-352080954,1490435212,1770,1770,-17,-17,1,31753
1437195989.35676789,166432,-352080957,1490435208,1750,1750,-17,-17,0,31751
1437195989.60987592,166834,-352080959,1490435200,1750,1750,-17,-17,0,31750
1437195989.85781193,167236,-352080976,1490435200,1760,1760,-16,-16,1,31746
1437195990.18492794,167638,-352080975,1490435197,1750,1750,-16,-17,0,31746
1437195990.44511604,167819,-352080992,1490435192,1760,1760,-16,-16,0,31747
1437195990.91030002,168242,-352081011,1490435187,1760,1760,-16,-16,0,31746
