timestamp,SCALED_PRESSURE.time_boot_ms,SCALED_PRESSURE.press_abs,SCALED_PRESSURE.press_diff,SCALED_PRESSURE.temperature,SCALED_PRESSURE.temperature_press_diff
1437197753.97149587,370207,960.5999755859375,-0.15382811427116394,3719,0
1437197754.38572788,370648,960.5899658203125,-0.16382811963558197,3715,0
1437197754.79981184,371088,960.5648803710938,-0.1889062523841858,3712,0
1437197755.22216392,371533,960.5631713867188,-0.19062499701976776,3709,0
1437197755.70822001,371977,960.5513916015625,-0.2024218738079071,3705,0
1437197755.99150801,372423,960.5413818359375,-0.21242186427116394,3704,0
1437197756.32752395,372870,960.5486450195312,-0.20515625178813934,3702,0
1437197756.72668004,373314,960.5332641601562,-0.2205468714237213,3700,0
1437197757.17790794,373758,960.5156860351562,-0.2381249964237213,3698,0
1437197757.61957598,374203,960.4849243164062,-0.26890623569488525,3698,0
1437197758.11440396,374607,960.449951171875,-0.3038281202316284,3698,0
1437197758.52916002,375011,960.4169921875,-0.3367968797683716,3696,0
1437197758.86982393,375415,960.374267578125,-0.37953123450279236,3694,0
1437197759.24370790,375818,960.352783203125,-0.40101560950279236,3693,0
1437197759.70000005,376219,960.3282470703125,-0.4255468547344208,3691,0
1437197760.08222795,376623,960.3087158203125,-0.4450781047344208,3689,0
1437197760.49593997,377028,960.2985229492188,-0.45531249046325684,3688,0
1437197760.78248382,377391,960.2985229492188,-0.45531249046325684,3685,0
1437197761.22793198,377752,960.2982788085938,-0.45554685592651367,3683,0
1437197761.55075192,378113,960.2885131835938,-0.46531248092651367,3680,0
1437197761.96384788,378433,960.2770385742188,-0.47679686546325684,3678,0
1437197762.30705190,378752,960.294189453125,-0.45960935950279236,3676,0
1437197762.56141996,379075,960.28662109375,-0.4671874940395355,3673,0
1437197762.82836795,379397,960.2899780273438,-0.46382811665534973,3672,0
1437197763.13661194,379722,960.2811279296875,-0.47265625,3668,0
1437197763.48569584,380044,960.2727661132812,-0.4810156226158142,3667,0
1437197763.82880402,380367,960.2713623046875,-0.482421875,3666,0
1437197764.11378789,380690,960.271240234375,-0.4825781285762787,3664,0
1437197764.53018403,381013,960.2774658203125,-0.4763281047344208,3663,0
1437197764.87542796,381338,960.2799682617188,-0.47382810711860657,3662,0
1437197765.21319604,381620,960.294189453125,-0.45960935950279236,3661,0
1437197765.61264801,381902,960.3011474609375,-0.45265623927116394,3661,0
1437197765.89969993,382186,960.2885131835938,-0.46531248092651367,3661,0
1437197766.22275591,382469,960.2671508789062,-0.486640602350235,3660,0
1437197766.55352783,382753,960.2836303710938,-0.4701562523841858,3659,0
1437197767.05117989,383034,960.2832641601562,-0.4705468714237213,3659,0
1437197767.25766802,383316,960.2916870117188,-0.46210935711860657,3659,0
1437197767.49239993,383599,960.2915649414062,-0.46226561069488525,3657,0
1437197767.86543584,383920,960.306640625,-0.44718748331069946,3657,0
1437197768.09823585,384241,960.2927856445312,-0.46101561188697815,3656,0
1437197768.52767992,384567,960.3027954101562,-0.4510156214237213,3657,0
1437197768.80693197,384890,960.282470703125,-0.47132810950279236,3657,0
1437197769.14697194,385255,960.2849731445312,-0.46882811188697815,3655,0
1437197769.46015191,385618,960.2813720703125,-0.4724218547344208,3655,0
1437197769.77731586,386021,960.2548828125,-0.4989062249660492,3655,0
1437197770.15865993,386423,960.2528686523438,-0.5009374618530273,3655,0
1437197770.39159584,386825,960.2456665039062,-0.5081250071525574,3655,0
1437197770.68390799,387229,960.228515625,-0.5253124833106995,3655,0
1437197771.01639605,387631,960.228515625,-0.5253124833106995,3654,0
1437197771.64547205,388035,960.2185668945312,-0.5352343916893005,3654,0
1437197771.99625587,388437,960.1970825195312,-0.5567187666893005,3654,0
1437197772.43680000,388839,960.2116088867188,-0.542187511920929,3654,0
1437197772.67218804,389243,960.2171630859375,-0.5366405844688416,3654,0
1437197773.08366394,389647,960.177490234375,-0.5763280987739563,3652,0
1437197773.66616392,390049,960.1849975585938,-0.5688281059265137,3652,0
1437197773.97411585,390449,960.198486328125,-0.5553125143051147,3650,0
1437197774.36427999,390850,960.2012329101562,-0.5525780916213989,3650,0
1437197774.67338800,391250,960.2113647460938,-0.5424218773841858,3649,0
1437197775.08577204,391611,960.2243041992188,-0.5295312404632568,3648,0
1437197775.43136382,391972,960.2166748046875,-0.537109375,3646,0
1437197775.81712794,392334,960.2243041992188,-0.5295312404632568,3644,0
1437197776.15144801,392656,960.2213745117188,-0.532421886920929,3642,0
1437197776.59373188,392978,960.2127685546875,-0.541015625,3641,0
1437197776.85167193,393298,960.2099609375,-0.5438281297683716,3639,0
1437197777.11681986,393621,960.2149658203125,-0.5388281345367432,3638,0
1437197777.38566804,393942,960.2350463867188,-0.518750011920929,3637,0
1437197777.84828782,394265,960.2062377929688,-0.5475780963897705,3635,0
1437197778.22906804,394588,960.2042236328125,-0.549609363079071,3633,0
1437197778.46218395,394911,960.1928100585938,-0.5610156059265137,3631,0
1437197778.77357984,395234,960.20849609375,-0.5453124642372131,3630,0
1437197779.03326797,395557,960.2274780273438,-0.5263280868530273,3630,0
1437197779.56358004,395879,960.2313842773438,-0.5224218368530273,3629,0
1437197779.83874798,396199,960.2442626953125,-0.5095312595367432,3628,0
1437197780.08226800,396519,960.2413940429688,-0.5124218463897705,3628,0
1437197780.50788403,396842,960.199951171875,-0.5538281202316284,3626,0
1437197780.93524384,397164,960.2249755859375,-0.5288280844688416,3625,0
1437197781.15428805,397487,960.2474975585938,-0.5063281059265137,3625,0
1437197781.53239584,397810,960.26708984375,-0.4867187440395355,3623,0
1437197781.78085589,398131,960.2556762695312,-0.49812498688697815,3622,0
1437197782.06053591,398453,960.2598876953125,-0.4939062297344208,3622,0
1437197782.39317203,398776,960.2643432617188,-0.48945310711860657,3620,0
1437197782.64314389,399098,960.2770385742188,-0.47679686546325684,3619,0
1437197783.16610384,399421,960.24755859375,-0.5062499642372131,3616,0
1437197783.47518802,399745,960.2313842773438,-0.5224218368530273,3615,0
1437197783.67349982,400070,960.2433471679688,-0.5104687213897705,3613,0
1437197783.89447999,400394,960.2743530273438,-0.47945311665534973,3612,0
1437197784.19996405,400719,960.2913818359375,-0.46242186427116394,3610,0
1437197784.46361995,401042,960.3114013671875,-0.4424218535423279,3608,0
1437197784.77204800,401364,960.3070678710938,-0.4467187523841858,3607,0
1437197785.24803996,401688,960.2999267578125,-0.45390623807907104,3605,0
1437197785.50634003,402011,960.3011474609375,-0.45265623927116394,3604,0
1437197785.78927183,402332,960.3062133789062,-0.447578102350235,3603,0
1437197786.09892797,402652,960.2927856445312,-0.46101561188697815,3601,0
1437197786.49293995,402974,960.2799072265625,-0.4739062488079071,3600,0
1437197786.75158405,403295,960.2742919921875,-0.4795312285423279,3597,0
1437197787.02620387,403616,960.2600708007812,-0.4937499761581421,3598,0
1437197787.37277603,403936,960.2698974609375,-0.48390623927116394,3596,0
1437197787.64993596,404257,960.2612915039062,-0.492499977350235,3595,0
1437197787.98617983,404577,960.2484741210938,-0.5053125023841858,3593,0
1437197788.37360001,404900,960.2484741210938,-0.5053125023841858,3592,0
1437197788.81249595,405222,960.25,-0.5038281083106995,3592,0
1437197789.07768393,405545,960.2327880859375,-0.5210155844688416,3590,0
1437197789.43491983,405866,960.2385864257812,-0.5152343511581421,3590,0
1437197789.69718003,406187,960.2113647460938,-0.5424218773841858,3588,0
1437197789.99290800,406509,960.2032470703125,-0.5505468845367432,3586,0
1437197790.41540790,406830,960.2127685546875,-0.541015625,3585,0
1437197790.65800786,407152,960.2113037109375,-0.5424999594688416,3582,0
1437197790.97249603,407475,960.219970703125,-0.5338281393051147,3580,0
1437197791.30859995,407798,960.2113647460938,-0.5424218773841858,3578,0
1437197791.59467196,408123,960.2099609375,-0.5438281297683716,3574,0
1437197791.89967203,408446,960.2271118164062,-0.5267187356948853,3571,0
1437197792.35114789,408768,960.2456665039062,-0.5081250071525574,3567,0
1437197792.75325990,409090,960.2349853515625,-0.5188280940055847,3564,0
1437197793.03332400,409411,960.2342529296875,-0.51953125,3558,0
1437197793.37394786,409735,960.2623901367188,-0.49140623211860657,3552,0
1437197793.94161582,410056,960.2456665039062,-0.5081250071525574,3546,0
1437197794.38727593,410376,960.257080078125,-0.49671873450279236,3540,0
1437197794.73485184,410697,960.2785034179688,-0.4753125011920929,3537,0
1437197794.97901583,411020,960.2456665039062,-0.5081250071525574,3531,0
1437197795.21625590,411384,960.2827758789062,-0.471015602350235,3525,0
1437197795.66037989,411767,960.2932739257812,-0.4605468511581421,3520,0
1437197795.94851995,412152,960.2713012695312,-0.48249998688697815,3515,0
1437197796.28053188,412557,960.3136596679688,-0.4401562511920929,3511,0
1437197796.69408798,412961,960.3516235351562,-0.4021874964237213,3508,0
1437197797.04880786,413366,960.3485717773438,-0.40523436665534973,3505,0
1437197797.49126005,413772,960.3141479492188,-0.43968749046325684,3502,0
1437197797.83420396,414177,960.3114013671875,-0.4424218535423279,3500,0
1437197798.10850787,414582,960.2999267578125,-0.45390623807907104,3497,0
1437197798.45049191,414986,960.2713012695312,-0.48249998688697815,3496,0
1437197798.86474800,415390,960.294189453125,-0.45960935950279236,3495,0
1437197799.35599589,415754,960.2999267578125,-0.45390623807907104,3493,0
1437197799.52195597,416116,960.2899780273438,-0.46382811665534973,3489,0
1437197799.86703205,416476,960.2841796875,-0.4696093499660492,3485,0
1437197800.18707585,416800,960.2770385742188,-0.47679686546325684,3481,0
1437197800.59371185,417122,960.2413940429688,-0.5124218463897705,3478,0
1437197800.94751596,417444,960.228515625,-0.5253124833106995,3473,0
1437197801.19268394,417767,960.2257080078125,-0.528124988079071,3470,0
1437197801.62359595,418090,960.2142944335938,-0.5395312309265137,3466,0
1437197802.03407598,418415,960.2514038085938,-0.5024218559265137,3463,0
1437197802.39638400,418737,960.2313842773438,-0.5224218368530273,3460,0
1437197802.64404392,419059,960.2428588867188,-0.510937511920929,3459,0
1437197803.05845189,419380,960.2399291992188,-0.5139062404632568,3456,0
1437197803.50641584,419703,960.2442016601562,-0.5096093416213989,3453,0
1437197803.83176398,420027,960.2099609375,-0.5438281297683716,3450,0
1437197804.26115203,420349,960.1800537109375,-0.5737499594688416,3448,0
1437197804.54313183,420670,960.1655883789062,-0.5882031321525574,3447,0
1437197804.86317587,420991,960.1612548828125,-0.592578113079071,3445,0
1437197805.36940002,421354,960.1442260742188,-0.6096093654632568,3444,0
1437197805.61439991,421717,960.119873046875,-0.6339062452316284,3443,0
1437197805.90077186,422081,960.0885009765625,-0.6653124690055847,3441,0
1437197806.32596397,422485,960.1214599609375,-0.6323437094688416,3440,0
1437197806.61005998,422890,960.1357421875,-0.6180468797683716,3438,0
1437197806.91610384,423293,960.1571655273438,-0.5966405868530273,3434,0
1437197807.15783191,423696,960.162841796875,-0.5909374952316284,3431,0
1437197807.52446389,424098,960.1399536132812,-0.6138281226158142,3425,0
1437197807.95243192,424500,960.1114501953125,-0.6423437595367432,3418,0
1437197808.37885594,424866,960.0670776367188,-0.686718761920929,3412,0
1437197808.70880389,425231,960.0327758789062,-0.7210156321525574,3407,0
1437197809.06389189,425597,960.0227661132812,-0.7310156226158142,3402,0
1437197809.51801205,425918,959.978515625,-0.7753124833106995,3397,0
1437197809.74626803,426242,959.9542846679688,-0.7995312213897705,3392,0
1437197810.03036785,426565,959.9370727539062,-0.8167187571525574,3388,0
1437197810.50355983,426887,959.9271850585938,-0.8266406059265137,3382,0
1437197810.84696388,427210,959.9214477539062,-0.8323437571525574,3377,0
