timestamp,POWER_STATUS.Vcc,POWER_STATUS.Vservo,POWER_STATUS.flags
1437196081.97115993,5169,5527,3
1437196082.21026397,5182,5530,3
1437196098.25496387,5182,5527,3
1437196098.57787204,5162,5532,3
1437196098.84911990,5130,5520,3
1437196099.14414001,5156,5527,3
1437196099.50225997,5146,5522,3
1437196099.82036400,5170,5530,3
1437196100.07157993,5132,5525,3
1437196100.47666001,5149,5525,3
1437196100.89091992,5188,5525,3
1437196101.30606794,5172,5522,3
1437196101.82631183,5130,5522,3
1437196102.24116397,5172,5525,3
1437196102.58566403,5169,5525,3
1437196102.90273595,5159,5527,3
1437196103.13303590,5153,5532,3
1437196103.41103196,5170,5522,3
1437196103.66009593,5162,5532,3
1437196103.89913201,5169,5525,3
1437196104.14827585,5143,5530,3
1437196104.65839601,5157,5522,3
1437196105.27764392,5169,5530,3
1437196105.91991591,5175,5522,3
1437196106.30933595,5172,5530,3
1437196106.89035583,5177,5532,3
1437196107.30061197,5169,5532,3
1437196107.71473598,5169,5530,3
1437196108.12898397,5143,5532,3
1437196108.55109191,5182,5527,3
1437196109.06825995,5177,5532,3
1437196109.48253584,5157,5532,3
1437196109.72153997,5175,5527,3
1437196109.96864390,5172,5527,3
1437196110.64803600,5169,5527,3
1437196110.88445592,5146,5525,3
1437196111.20421600,5143,5532,3
1437196111.64854002,5159,5532,3
1437196112.06545186,5182,5527,3
1437196112.58573604,5157,5527,3
1437196112.89895582,5157,5530,3
1437196113.34401584,5175,5525,3
1437196113.67827582,5162,5530,3
1437196113.92632794,5149,5527,3
1437196114.34061599,5162,5530,3
1437196114.70563602,5144,5525,3
1437196114.96109200,5157,5530,3
1437196115.41592002,5165,5522,3
1437196115.72309184,5156,5522,3
1437196116.20434785,5162,5527,3
1437196116.54948783,5190,5530,3
1437196116.79649591,5146,5517,3
1437196117.23875189,5156,5522,3
1437196117.58493590,5188,5527,3
1437196117.83202791,5157,5527,3
1437196118.27523589,5159,5530,3
1437196118.63732386,5157,5527,3
1437196118.97169185,5169,5530,3
1437196119.21056795,5138,5522,3
1437196119.57581997,5157,5527,3
1437196119.90284395,5143,5525,3
1437196120.17408800,5169,5525,3
1437196120.59048796,5162,5532,3
1437196120.90730405,5148,5525,3
1437196121.20730805,5143,5527,3
1437196121.55051184,5183,5532,3
1437196121.99865985,5175,5527,3
1437196122.26809192,5143,5525,3
1437196122.62793183,5182,5530,3
1437196123.03415990,5143,5530,3
1437196123.48938394,5170,5527,3
1437196123.72442794,5175,5532,3
1437196124.03364396,5143,5530,3
1437196124.30380797,5169,5530,3
1437196124.62287593,5151,5522,3
1437196124.86106396,5169,5539,3
1437196125.13399982,5149,5527,3
1437196125.45077991,5138,5530,3
1437196125.83432388,5162,5525,3
1437196126.08202791,5159,5527,3
1437196126.31150794,5156,5525,3
1437196126.66262388,5169,5527,3
1437196126.90288401,5143,5527,3
1437196127.14901185,5157,5522,3
1437196127.49336004,5127,5530,3
1437196127.73321986,5170,5530,3
1437196127.98031592,5149,5525,3
1437196128.63449192,5170,5530,3
1437196128.88278389,5169,5534,3
1437196129.29801583,5156,5527,3
1437196129.62787604,5169,5527,3
1437196129.90012002,5175,5522,3
1437196130.28422785,5144,5527,3
1437196130.69745994,5153,5522,3
1437196131.11156797,5169,5522,3
1437196131.56064391,5138,5530,3
1437196131.79280400,5169,5522,3
1437196132.11491990,5177,5525,3
1437196132.46112394,5169,5527,3
1437196132.80627584,5194,5530,3
1437196133.13048792,5114,5527,3
1437196133.38743186,5162,5530,3
1437196133.80056000,5164,5530,3
1437196134.07362390,5162,5530,3
1437196134.56200004,5182,5530,3
1437196134.94216394,5177,5530,3
1437196135.28941202,5162,5525,3
1437196135.66444397,5156,5525,3
1437196136.02179193,5182,5532,3
1437196136.39267182,5169,5527,3
1437196136.73500800,5143,5527,3
1437196137.05611205,5175,5530,3
1437196137.35921192,5188,5527,3
1437196137.69429183,5175,5525,3
1437196138.01950383,5169,5525,3
1437196138.25756788,5143,5517,3
1437196138.60372400,5177,5530,3
1437196138.94383597,5133,5517,3
1437196139.18698788,5136,5525,3
1437196139.70718002,5177,5530,3
1437196140.02026391,5157,5530,3
1437196140.46753597,5159,5527,3
1437196140.79067183,5170,5530,3
